,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
220,HREC11,Títulos e Val. Mob.,"R$ 81,20",21670.0,"R$ 0,95","1,15%","3,04%","6,42%","12,64%","1,01%","1,07%","1,05%","11,62%","-8,36%","-7,31%","-3,39%","R$ 462.332.546,07","R$ 89,66",0.91,"1,06%","-1,80%","-0,76%","9,87%",,,0
221,VCRI11,,"R$ 8,70",382100.0,"R$ 0,12","1,31%","3,97%","8,55%","0,00%","1,32%","1,43%","0,00%","10,13%","1,22%","2,55%","6,62%","R$ 170.030.754,84","R$ 9,57",0.91,"1,25%","-1,33%","-0,09%","1,69%",,,0
222,VSHO11,Shoppings,"R$ 69,20",14320.0,"R$ 0,68","0,91%","2,31%","4,62%","9,18%","0,77%","0,77%","0,77%","8,43%","-0,79%","0,12%","3,11%","R$ 207.582.986,09","R$ 98,91",0.7,"0,69%","0,13%","0,82%","3,57%","12,96%",,3
223,VISC11,Shoppings,"R$ 102,28",209420.0,"R$ 0,76","0,73%","2,05%","4,09%","8,29%","0,68%","0,68%","0,69%","7,51%","-8,08%","-7,40%","11,16%","R$ 2.033.799.531,34","R$ 114,93",0.89,"0,66%","-0,04%","0,62%","5,92%","8,30%",,15
224,KCRE11,Renda,"R$ 86,15",124200.0,"R$ 0,51","0,56%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,29%","-4,98%","-4,44%","1,32%","R$ 356.256.428,84","R$ 98,96",0.87,"0,52%","-1,96%","-1,46%","1,56%",,,0
225,KNHY11,Títulos e Val. Mob.,"R$ 96,95",282670.0,"R$ 0,90","0,94%","1,80%","4,99%","12,97%","0,60%","0,83%","1,08%","11,60%","-3,31%","-2,40%","0,52%","R$ 1.806.172.257,80","R$ 97,68",0.99,"0,92%","-0,96%","-0,05%","11,79%",,,0
226,URPR11,Outros,"R$ 96,98",336660.0,"R$ 1,11","1,13%","3,53%","7,85%","16,99%","1,18%","1,31%","1,42%","15,54%","-2,77%","-1,68%","-4,38%","R$ 1.159.743.349,68","R$ 99,33",0.98,"1,12%","-1,74%","-0,64%","22,93%",,,0
227,NVIF11B,Outros,"R$ 95,90",880.0,"R$ 0,44","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","0,00%","0,46%","0,46%","R$ 99.753.245,00","R$ 295,65",0.32,"0,15%","2,87%","3,03%","17,70%",,,0
228,NVIF11B,Outros,"R$ 95,96",9710.0,"R$ 0,44","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","0,00%","0,46%","0,46%","R$ 99.753.245,00","R$ 295,65",0.32,"0,15%","2,87%","3,03%","17,70%",,,0
229,NVIF11B,Outros,"R$ 95,96",12570.0,"R$ 0,44","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","0,00%","0,46%","0,46%","R$ 99.753.245,00","R$ 295,65",0.32,"0,15%","2,87%","3,03%","17,70%",,,0
230,NVIF11B,Outros,"R$ 96,52",17600.0,"R$ 0,44","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","0,00%","0,46%","0,46%","R$ 99.753.245,00","R$ 295,65",0.33,"0,15%","2,87%","3,03%","17,70%",,,0
231,NVIF11B,Outros,"R$ 96,14",14490.0,"R$ 0,44","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","0,00%","0,46%","0,46%","R$ 99.753.245,00","R$ 295,65",0.33,"0,15%","2,87%","3,03%","17,70%",,,0
232,NVIF11B,Outros,"R$ 96,15",15080.0,"R$ 0,44","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","0,00%","0,46%","0,46%","R$ 99.753.245,00","R$ 295,65",0.33,"0,15%","2,87%","3,03%","17,70%",,,0
233,NVIF11B,Outros,"R$ 95,92",5580.0,"R$ 0,44","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","0,00%","0,46%","0,46%","R$ 99.753.245,00","R$ 295,65",0.32,"0,15%","2,87%","3,03%","17,70%",,,0
234,NVIF11B,Outros,"R$ 95,81",26650.0,"R$ 0,44","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","0,00%","0,46%","0,46%","R$ 99.753.245,00","R$ 295,65",0.32,"0,15%","2,87%","3,03%","17,70%",,,0
235,NVIF11B,Outros,"R$ 96,20",15340.0,"R$ 0,44","0,46%","0,46%","0,46%","0,46%","0,15%","0,08%","0,04%","0,46%","0,00%","0,46%","0,46%","R$ 99.753.245,00","R$ 295,65",0.33,"0,15%","2,87%","3,03%","17,70%",,,0
236,LVBI11,Logística,"R$ 97,76",224720.0,"R$ 0,75","0,72%","2,07%","4,30%","8,67%","0,69%","0,72%","0,72%","6,47%","-3,12%","-2,43%","18,67%","R$ 1.360.113.106,61","R$ 115,51",0.85,"0,65%","-0,03%","0,62%","4,47%","0,50%","0,00%",10
237,JPPA11,Títulos e Val. Mob.,"R$ 104,45",26020.0,"R$ 1,40","1,34%","4,24%","9,46%","18,85%","1,41%","1,58%","1,57%","17,43%","-0,41%","0,93%","27,17%","R$ 79.272.816,93","R$ 99,04",1.05,"1,41%","-0,73%","0,67%","11,76%",,,0
238,RZTR11,Híbrido,"R$ 96,30",424580.0,"R$ 1,25","1,26%","3,68%","7,29%","14,62%","1,23%","1,22%","1,22%","15,83%","-3,48%","-2,26%","12,77%","R$ 1.066.756.882,78","R$ 97,31",0.99,"1,28%","0,00%","1,29%","10,37%",,,10
239,BICR11,Títulos e Val. Mob.,"R$ 92,00",10.0,"R$ 1,10","1,07%","2,78%","4,75%","9,37%","0,93%","0,79%","0,78%","8,78%","0,89%","1,97%","19,03%","R$ 49.612.197,01","R$ 99,22",0.93,"1,11%","-1,64%","-0,55%","8,67%",,,0
240,EVBI11,Híbrido,"R$ 91,70",3520.0,"R$ 0,75","0,78%","2,29%","4,57%","9,42%","0,76%","0,76%","0,79%","6,98%","-2,52%","-1,76%","11,22%","R$ 167.685.996,26","R$ 100,21",0.92,"0,75%","-0,71%","0,03%","7,70%","0,00%",,4
241,HGRE11,Lajes Corporativas,"R$ 120,69",149840.0,"R$ 0,78","0,60%","1,73%","3,51%","8,35%","0,58%","0,58%","0,70%","6,33%","-5,80%","-5,23%","4,46%","R$ 1.906.065.147,81","R$ 161,29",0.75,"0,48%","-0,12%","0,36%","2,41%","27,13%","29,17%",21
242,NSLU11,Hospital,"R$ 166,60",8820.0,"R$ 1,50","0,90%","2,26%","4,00%","9,09%","0,75%","0,67%","0,76%","3,32%","2,51%","3,43%","18,95%","R$ 251.911.778,36","R$ 194,78",0.86,"0,77%","0,05%","0,82%","3,11%","0,00%",,1
243,FIIP11B,Logística,"R$ 141,96",26890.0,"R$ 1,35","0,89%","2,59%","5,12%","9,83%","0,86%","0,85%","0,82%","9,09%","-3,74%","-2,89%","1,53%","R$ 172.614.502,38","R$ 186,18",0.76,"0,73%","-0,12%","0,60%","0,12%","0,00%",,7
244,HGRU11,Híbrido,"R$ 117,60",497300.0,"R$ 0,82","0,66%","1,97%","4,26%","8,74%","0,66%","0,71%","0,73%","8,74%","-1,17%","-0,51%","24,39%","R$ 2.208.731.664,85","R$ 120,00",0.98,"0,68%","-0,37%","0,31%","9,23%","0,00%","0,00%",17
245,ITIT11,Títulos e Val. Mob.,"R$ 77,99",6330.0,"R$ 0,57","0,72%","2,15%","4,49%","9,07%","0,72%","0,75%","0,76%","8,31%","-2,74%","-2,04%","19,45%","R$ 71.737.214,03","R$ 79,66",0.98,"0,72%","-5,82%","-5,15%","6,88%",,,0
246,XPCM11,Lajes Corporativas,"R$ 14,22",35830.0,"R$ 0,17","1,14%","2,72%","5,49%","10,86%","0,91%","0,92%","0,91%","10,37%","-13,18%","-12,19%","-13,70%","R$ 124.433.063,43","R$ 51,53",0.28,"0,33%","-0,77%","-0,45%","-2,97%","100,00%",,1
247,XPPR11,Outros,"R$ 32,25",165480.0,"R$ 0,30","0,90%","2,34%","4,38%","9,06%","0,78%","0,73%","0,76%","8,25%","-19,15%","-18,42%","-43,28%","R$ 547.020.346,86","R$ 74,77",0.43,"0,40%","0,05%","0,45%","-3,65%","46,00%","0,00%",4
248,BNFS11,Outros,"R$ 123,00",6410.0,"R$ 1,53","1,27%","3,68%","7,38%","13,82%","1,23%","1,23%","1,15%","12,81%","-3,21%","-1,98%","8,29%","R$ 69.454.752,82","R$ 99,22",1.24,"1,55%","-0,03%","1,51%","13,72%","0,00%",,18
249,ABCP11,Shoppings,"R$ 70,64",7610.0,"R$ 0,60","0,81%","2,24%","4,52%","9,34%","0,75%","0,75%","0,78%","8,51%","-1,69%","-0,89%","8,38%","R$ 1.120.589.958,80","R$ 91,82",0.77,"0,65%","-0,18%","0,47%","7,12%","7,50%",,1
250,BBFI11B,Lajes Corporativas,"R$ 1.927,00",1390.0,"R$ 26,69","1,40%","4,22%","8,54%","16,40%","1,41%","1,42%","1,37%","14,74%","0,53%","1,93%","-3,24%","R$ 371.124.002,95","R$ 2.854,80",0.68,"0,93%","0,12%","1,06%","6,06%","39,11%",,2
251,HAAA11,Lajes Corporativas,"R$ 82,00",700.0,"R$ 0,54","0,66%","1,92%","3,81%","7,20%","0,64%","0,63%","0,60%","6,64%","-5,17%","-4,55%","-9,05%","R$ 310.852.216,86","R$ 89,97",0.91,"0,60%","-0,40%","0,20%","1,32%","17,00%",,1
252,ITIP11,Títulos e Val. Mob.,"R$ 78,50",8130.0,"R$ 0,74","0,94%","2,97%","6,67%","13,79%","0,99%","1,11%","1,15%","12,60%","-2,48%","-1,57%","9,41%","R$ 60.541.434,99","R$ 80,92",0.97,"0,91%","-2,90%","-2,01%","2,57%",,,0
253,CBOP11,Lajes Corporativas,"R$ 52,23",7820.0,"R$ 0,49","0,89%","2,62%","5,92%","13,90%","0,87%","0,99%","1,16%","9,77%","-2,11%","-1,24%","-16,38%","R$ 105.832.738,70","R$ 74,79",0.7,"0,66%","-0,60%","0,05%","-11,06%","33,59%","30,79%",1
254,PATL11,Híbrido,"R$ 69,50",129270.0,"R$ 0,58","0,79%","2,24%","4,53%","9,07%","0,75%","0,75%","0,76%","8,31%","-7,82%","-7,09%","5,67%","R$ 489.199.176,09","R$ 98,01",0.71,"0,59%","-0,10%","0,49%","6,74%","0,00%","0,00%",4
255,EURO11,Logística,"R$ 221,94",13460.0,"R$ 1,92","0,84%","2,42%","4,77%","9,70%","0,81%","0,80%","0,81%","8,87%","1,13%","1,98%","24,19%","R$ 120.137.518,84","R$ 312,91",0.71,"0,61%","0,01%","0,62%","6,68%","0,00%",,6
256,HGBS11,Shoppings,"R$ 183,00",91490.0,"R$ 1,40","0,73%","2,03%","4,16%","8,12%","0,68%","0,69%","0,68%","7,55%","-8,21%","-7,53%","23,25%","R$ 2.169.800.062,57","R$ 216,98",0.84,"0,65%","-0,63%","0,02%","7,57%","6,50%",,17
257,FIGS11,Shoppings,"R$ 47,40",91570.0,"R$ 0,39","0,78%","2,17%","4,39%","8,52%","0,72%","0,73%","0,71%","7,88%","-8,23%","-7,51%","-2,14%","R$ 284.387.231,69","R$ 99,78",0.48,"0,39%","-0,01%","0,38%","4,38%","13,70%",,2
258,FIIB11,Híbrido,"R$ 456,00",5830.0,"R$ 3,80","0,82%","2,32%","4,64%","9,07%","0,77%","0,77%","0,76%","6,82%","-4,93%","-4,15%","6,18%","R$ 312.133.949,69","R$ 455,67",1.0,"0,83%","-0,10%","0,74%","7,62%","6,28%",,1
259,GALG11,Híbrido,"R$ 9,14",639350.0,"R$ 0,08","0,87%","2,58%","5,13%","10,26%","0,86%","0,86%","0,85%","10,26%","-1,36%","-0,50%","-98,92%","R$ 538.312.589,17","R$ 9,36",0.98,"0,88%","-7,87%","-7,06%","-90,09%","0,00%","0,00%",6
260,VJFD11,Híbrido,"R$ 96,00",17450.0,"R$ 1,02","1,06%","1,06%","1,06%","0,00%","0,35%","0,18%","0,00%","1,06%","0,00%","1,06%","1,06%","R$ 647.729.783,52","R$ 132,84",0.72,"0,77%","0,03%","0,80%","2,43%",,,0
261,VJFD11,Híbrido,"R$ 96,26",51040.0,"R$ 1,02","1,06%","1,06%","1,06%","0,00%","0,35%","0,18%","0,00%","1,06%","0,00%","1,06%","1,06%","R$ 647.729.783,52","R$ 132,84",0.72,"0,77%","0,03%","0,80%","2,43%",,,0
262,VJFD11,Híbrido,"R$ 96,30",79050.0,"R$ 1,02","1,06%","1,06%","1,06%","0,00%","0,35%","0,18%","0,00%","1,06%","0,00%","1,06%","1,06%","R$ 647.729.783,52","R$ 132,84",0.72,"0,77%","0,03%","0,80%","2,43%",,,0
